WorkID,WorkTitle,Year,Country,Genre,TechRef,TechUsed,Topic,Sentiment,Situation,SituationID,Characters,CharactersID
3039,"So.So.So. (Somebody, Somewhere, Sometime)",2002,"Algeria, France, Hong Kong SAR China, Germany","Art, Installation art",,"Interactive panoramas, Virtual reality",City,"Exciting, Wondrous","So.So.So. (Somebody, Somewhere, Sometime)(Traversing through spherical panoramas)",3040,,
231,"Surveillance Kanshisha",2002,Japan,Game,"Surveillance cameras",,"Conflict, Surveillance","Flawed, Helpful","Surveillance Kanshisha (Surveillance)",293,"Yusuke Sakaki",292
1767,"System Azure Security Ornamentation",2002,"United States","Art, Performance art, Photograph/print/painting","Surveillance cameras",,"Hacking, Playful, Surveillance","Alien, Subversive","System Azure Security Ornamentation (decorating surveillance cameras)",1768,,
1162,"The Cat Returns",2002,Japan,"Narrative, Movie","Surveillance cameras",,"Animals, Identity","Alien, Creepy, Oppressive","The Cat Returns (Surveillance eyes)",1161,"Haru, The Cat King (The Cat Returns)","1159, 1160"
2120,"(In)Security Camera",2003,"Peru, United States, Russia","Art, Installation art",,"Facial recognition, Motion tracking, Object recognition, Surveillance cameras",Surveillance,"Alien, Flawed, Subversive","(In)Security Camera (insecure security camera)",2565,,
8,Cheese,2003,Germany,"Art, Installation art",,"Emotion recognition","Labour, Surveillance","Creepy, Oppressive","Cheese (Women smiling)",451,"Smiling women (Cheese)",778
1782,"Life: A User’s Manual",2003,"Canada, Netherlands, Germany","Art, Video art, Performance art",,"Surveillance cameras","City, Hacking, Surveillance","Intimate, Intrusive","Life: A User’s Manual (broadcasting CCTV footage)",1783,,
1526,Lifeline,2003,Japan,Game,"Surveillance cameras",,"Horror, Surveillance","Helpful, Prosocial, Protective","Lifeline (Security cameras)",1527,"Rio, The Operator (Lifeline)","1525, 2770"
1041,Manhunt,2003,"United Kingdom",Game,"Surveillance cameras",,"Horror, Physical violence, Surveillance","Creepy, Disgusting, Exciting","Manhunt (Replaying murders on CCTV)",1066,"James Earl Cash, Lionel Starkweather, Criminals (Manhunt)","1065, 1067, 1068"
1101,"Pattern Recognition",2003,"United States","Narrative, Novel","AI, Augmented reality, Camera, Non-Visible Spectrum, Object recognition",,"City, Hacking","Helpful, Neutral","Pattern Recogntion (Security scanning for lying/blushing), Pattern Recogntion (Camera recognising shapes), Pattern Recognition (Finding Cayce using nightvision)","1103, 1104, 1107","Cayce Pollard, Friends of Parkaboy (Pattern Recognition), Parkaboy","1102, 1105, 1106"
57,"Sorting Daemon",2003,Canada,"Art, Installation art",,"Camera, Filtering, Object recognition","Surveillance, War","Dangerous, Flawed, Intrusive, Misleading","Sorting Daemon (Object recognition)",441,,
3043,Demonstrate,2004,,"Art, Online art","Surveillance cameras",Webcams,"City, Surveillance",Exciting,"Demonstrate (controlling a robotic webcamera)",3044,,
3112,"Half-Life 2",2004,"United States",Game,"Biometrics, Drones, Surveillance cameras",,"Free will, Physical violence, Surveillance",Oppressive,"Half-Life 2 (City drone briefly blinding protagonist), Half-Life 2 (Disabling security camera vision)","3115, 3116","Gordon Freeman, Barney Calhoun","3113, 3114"
282,"Shutter (film)",2004,Thailand,"Narrative, Movie",Camera,,"Crime, Horror","Hostile, Intimate, Intrusive","Shutter (Film)(Ghost caught on polaroid)",281,Tun,280
867,"The Final Cut",2004,"Lebanon, United States","Narrative, Movie","Facial recognition, Ocular implant",,"Grief, Physical violence, Surveillance","Flawed, Intrusive","The Final Cut (Suicide after discovering implant), The Final Cut (Protesters)","2952, 2954","Alan Hakman, Girl (The Final Cut), Mrs Munroe","2956, 2951, 2953"
1769,Trust,2004,"United States, United Kingdom","Art, Video art",,"Surveillance cameras","City, Playful, Surveillance","Fun, Helpful, Intimate, Subversive","Trust (trusting surveillance cameras)",1779,"""Jill Magid""",1780
2116,"America is Bleeding",2005,"United Kingdom, United States","Art, Online art",,"Camera, Webcams","City, Surveillance","Intimate, Intrusive","America is Bleeding (Streaming surveillance footage)",2243,,
162,Daemon,2006,"United States","Narrative, Novel","Augmented reality, Biometrics, Body scans, Drones, Facial recognition, Machine learning, Non-Visible Spectrum, Surveillance cameras",,"AI, Autonomous vehicles, Crime, Economy, Hacking, Inequality, Physical violence","Dangerous, Hostile, Intrusive, Oppressive, Overwhelming, Protective","Daemon (fMRI lie detector), Daemon (Third eye), Daemon (Facial recognition and biometrics","2871, 2872, 2874","Pete Sebeck, Brian Gragg, Charles Mosely, Agent Roy Merritt","242, 516, 2870, 2873"
69,Interface,2006,Norway,"Art, Video art","Augmented reality, MicroscopeOrTelescope, Non-Visible Spectrum",,"Physical violence, War","Dangerous, Oppressive","Interface (Soldiers killing)",427,"Suspect (Interface), Soldiers (Interface)","2758, 2759"
2599,"A Scanner Darkly",2006,"United States","Narrative, Movie","Body scans, Facial recognition, Holograms, Motion tracking, Object recognition, Satellite images, Surveillance cameras",,"Crime, Identity, Surveillance","Creepy, Intrusive","A Scanner Darkly (Scramble Suit), A Scanner Darkly (Bob is Identified), A Scanner Darkly (Fred is Surveilling Bob)","2601, 2602, 2605","Bob Arctor, Donna Hawthorne, Fred (undercover cop)","2600, 2604, 2603"
504,"Ayo Technology",2007,"United States","Narrative, Music video","Augmented reality, MicroscopeOrTelescope, Non-Visible Spectrum, Object recognition",,"Inequality, Sex, Surveillance","Empowering, Exciting, Helpful, Intrusive, Oppressive","Ayo Technology (50 Cent spying using telescope), Ayo Technology (Timbaland spies on women)","503, 505","""Timbaland"", ""50 Cent"", Sexy woman (Ayo Technology)","792, 793, 3084"
1461,"Call of Duty 4: Modern Warfare",2007,"United States",Game,"3D scans, Drones, MicroscopeOrTelescope, Non-Visible Spectrum, Satellite images",,"Conflict, War","Empowering, Hostile","Call of Duty 4: Modern Warfare (The Death from Above mission), Call of Duty 4: Modern Warfare (""Too easy"" with night vision goggles), Call of Duty 4: Modern Warfare (Satellite image reconnaissance), Call of Duty 4: Modern Warfare (Track and identify bodies through walls), Call of Duty 4: Modern Warfare (Sniper rifle 900m zoom)","2885, 2882, 2883, 2884, 3238","John ""Soap"" MacTavish, AC-130 TV operator, Lt. John Price, Imran Zakhaev","2881, 2886, 3239, 3240"
1175,eXperience112,2007,France,Game,"Non-Visible Spectrum, Surveillance cameras, UGV",,"Companionship, Surveillance","Flawed, Helpful, Intimate, Protective","eXperience112 (Operating ship's security cameras)",1186,"Lea Nichols",1176
1791,FACELESS,2007,"Austria, United Kingdom","Art, Video art",,"Surveillance cameras","Hacking, Surveillance","Creepy, Helpful","FACELESS (making a CCTV film)",1903,"""Ma Nu""",1908
1706,Invisíveis,2007,"Brazil, United States, Spain",Art,,"Augmented reality, Cameraphone","City, Empathy, Identity, Playful","Empowering, Exciting","Invisíveis (revealing invisible figures)",1985,,
454,"Iron Man",2007,"United States","Narrative, Movie","Augmented reality, Non-Visible Spectrum",,"Conflict, Hacking, Inequality, Physical violence, Robots/androids, War","Empowering, Helpful, Neutral, Protective","Iron Man (AR alarm clock), Iron Man (Augmented Reality_a), Iron Man (Combat scene - AR identifies civilians)","456, 457, 458","Tony Stark, Jarvis, Woman in Tony Stark's bedroom","453, 455, 661"
1033,Portal,2007,"United States",Game,"AI, Machine learning, Motion tracking, Surveillance cameras",,"AI, Empathy, Surveillance","Hostile, Oppressive","Portal (Security camera), Portal (Avoiding GLaDOS's vision)","1062, 2755","Chell, GLaDOS","1060, 1063"
1540,"Spurious Memories",2007,"United States","Art, Video art","Facial recognition, Machine learning","Image generation, Machine learning",AI,"Creepy, Flawed","Spurious Memories (facial recognition dreams)",1579,,
1784,"17 Cities",2008,"Canada, Netherlands, Germany","Art, Video art",,"Surveillance cameras","Hacking, Surveillance","Creepy, Intimate, Intrusive","17 Cities (hacking into wireless security camera feeds)",1785,,
1786,"CCTV: A Trail of Images",2008,"Austria, United Kingdom","Art, Video art, Performance art",,"Surveillance cameras","City, Hacking, Surveillance","Empowering, Intrusive, Subversive","CCTV: A Trail of Images (hacking into CCTV's)",1787,,
1662,"Expanded Eye",2008,"Spain, Brazil, United States","Art, Installation art",,"Camera, Object recognition",Animals,Alien,"Expanded Eye (mimicing insect vision)",1913,,
936,"House of Cards",2008,"United Kingdom","Narrative, Music video",,"3D scans","Romantic relationship",Exciting,"House of Cards (Scanned Thom singing)",935,"""Thom Yorke""",934
173,"Little Brother",2008,"Canada, United States","Narrative, Novel","Biometrics, Drones, Facial recognition, Surveillance cameras",,"Companionship, Conflict, Dystopian, Hacking, Surveillance","Dangerous, Exciting, Fun, Helpful, Intrusive, Oppressive, Subversive","Little Brother (Gait Recognition Cameras in Schools), Little Brother (Marcus looks for surveillance cameras)","2867, 2869","Marcus Yallow",2868
971,Moxyland,2008,"South Africa","Narrative, Novel","AI, Biometrics, Camera, Motion tracking, Virtual reality",,"Crime, Dystopian, Hacking, Identity","Empowering, Helpful, Subversive","Moxyland (Toby`s recording jacket)",972,Toby,970
345,Paper,2008,"United Kingdom","Narrative, Music video","Surveillance cameras","Surveillance cameras","City, Surveillance",Neutral,"Paper (Band intentionally caught on CCTV)",344,"""Paper""",782
534,Skinned,2008,"United States","Narrative, Novel","Augmented reality, Ocular implant",,"Automation, Consciousness, Family, Grief, Identity, Robots/androids","Alien, Flawed, Overwhelming","Skinned (Optical/ocular implant), Skinned (Lia imagines her boyfriend seeing her machine eyes and body)","535, 536","Lia Kahn",533
589,"The Hunger Games (series)",2008,"United States","Narrative, Movie, Novel","Augmented reality, Non-Visible Spectrum, Surveillance cameras",,"City, Competition, Conflict, Dystopian, Nature, Physical violence, Romantic relationship, Surveillance, War","Dangerous, Empowering, Exciting, Helpful, Hostile, Misleading, Oppressive","The Hunger Games (AR model of arena), The Hunger Games (Holo), The Hunger Games (Night Vision Glasses in Games), The Hunger Games (Ubiquitous surveillance), The Hunger Games (Night Vision Glasses for Harvesting), The Hunger Games (Night Vision Glasses in Daylight), The Hunger Games (Peeta's Camouflage), The Hunger Games (Katniss Destroys Arena)","956, 957, 959, 961, 963, 964, 967, 968","Katniss Everdeen, Gamemasters (The Hunger Games), President Snow, Rue (The Hunger Games), Peeta Mellark, The Careers (The Hunger Games)","953, 954, 955, 958, 966, 960"
2071,"Sleep Dealer",2008,"United States","Narrative, Movie","Drones, Non-Visible Spectrum, Object recognition, Surveillance cameras","Satellite images","Conflict, Dystopian, Hacking, Labour, Robots/androids, Surveillance","Dangerous, Hostile, Intrusive, Oppressive","Sleep Dealer (Drones), Sleep Dealer (Surveillance weapons)","2105, 2104","Memo Cruz, Memo Cruz's Father","2923, 2924"
65,"Belief Systems",2009,Germany,"Art, Video art","Emotion recognition, Facial recognition, Filtering",,"Dystopian, Free will, Surveillance","Creepy, Intimate, Oppressive","Belief Systems (Shopping for kettle with face)",390,"Consumer (Belief Systems)",2756
931,"Better off Ted",2009,"United States","Narrative, TV series or episode","Motion tracking",,"Conflict, Hacking, Labour, Race, Surveillance","Flawed, Oppressive","Better Off Ted (Failing dark skin)",930,"Lem Hewitt",932
704,"Glad Girls",2009,"United States","Narrative, Music video","Filtering, MicroscopeOrTelescope",,Playful,Fun,"Glad Girls (Rob using binoculars)",703,"""Rob Pollard"", Glad girls (Glad Girls)","779, 780"
349,"Heartbreak Warfare",2009,"United States","Narrative, Music video","Augmented reality","Augmented reality","Romantic relationship",Neutral,"Heartbreak Warfare (John being augmented)",348,"""John Mayer""",789
1573,"PHYSIOGNOMIC SCRUTINIZER",2009,Netherlands,"Art, Installation art",,"Facial recognition, Machine learning","AI, Identity, Surveillance","Flawed, Intrusive","PHYSIOGNOMIC SCRUTINIZER (matching faces)",1652,,
3012,"Portrait Machine",2009,Netherlands,"Art, Installation art",,"Camera, Emotion recognition, Facial recognition, Object recognition","Identity, Playful","Fun, Prosocial","Portrait Machine (similar patterns)",3013,,
894,"Serious Games III: Immersion",2009,"Germany, United States","Art, Video art, Installation art","Virtual reality",,War,"Helpful, Intimate","Serious Games III: Immersion (Virtual Therapy)",1136,"Soldier ( Serious Games III: Immersion ), Therapist ( Serious Games III: Immersion)","1134, 1135"
389,"True Beauty",2009,"United States","Narrative, TV series or episode",,"Surveillance cameras","Competition, Empathy, Surveillance","Exciting, Helpful, Intimate","True Beauty (Surveillance)",388,,
2635,Stellar,2009,"United States","Narrative, Music video","MicroscopeOrTelescope, Satellite images",,"Free will, Romantic relationship, Surveillance","Creepy, Intrusive","Stellar (Band captures woman)",2645,"""Incubus""",2636
1931,"2033: La Ilusión de un Futuro Mejor",2009,Mexico,"Narrative, Movie","Biometrics, MicroscopeOrTelescope, Non-Visible Spectrum, Object recognition, Surveillance cameras",,"Conflict, Dystopian, Hacking, Inequality, Surveillance","Dangerous, Intrusive, Oppressive","2033: La Ilusión de un Futuro Mejor (Provide doses of Pectanol), 2033: La Ilusión de un Futuro Mejor (Monitor consumption of Pectanol), 2033: La Ilusión de un Futuro Mejor (Hunting), 2033: La Ilusión de un Futuro Mejor (Biometric to identify and anonymise), 2033: La Ilusión de un Futuro Mejor (Tricking retina scanner)","1933, 1936, 1938, 1939, 2922","Pablo, Lucía, PEC goverment offical, Hunted Father (2033: La Ilusión de un Futuro Mejor), Hunted Child (2033: La Ilusión de un Futuro Mejor)","2911, 2920, 2921, 2913, 2914"
2297,"Technotise: Edit & I",2009,Serbia,"Narrative, Movie","Augmented reality, Body scans, Object recognition, Surveillance cameras",,"Conflict, Consciousness","Helpful, Intrusive, Neutral","Technotise: Edit & I (Body scan), Technotise: Edit & I (AR helmet), Technotise: Edit & I (Surveillance cams with AR)","2294, 2295, 2296",Edit,2293
31,"CV Dazzle",2010,"United States, Germany",Art,"Facial recognition",,"Hacking, Playful, Surveillance","Flawed, Intrusive","CV Dazzle (Hiding Identity in Stylish Ways)",379,,
3109,"Heavy Rain",2010,France,Game,"Augmented reality, Virtual reality",,"Crime, Family, Grief, Horror, Physical violence","Dangerous, Helpful","Heavy Rain (ARI evidence detecting system)",3110,"Norman Jayden",3111
1709,HoloDecon,2010,Mexico,Art,,Cameraphone,"Cyborgs, Hacking","Alien, Subversive","HoloDecon (hacking cameraphones for alternative perceptions)",1991,,
823,Infra,2010,"Ireland, Congo - Brazzaville","Art, Photograph/print/painting","Non-Visible Spectrum","Non-Visible Spectrum",War,Wondrous,"Infra (Defiant soldiers)",824,"Congolese soldiers (Infra)",822
63,"Postcards from Google Earth",2010,"United States","Art, Photograph/print/painting",,"Satellite images, Interactive panoramas",Automation,"Flawed, Wondrous","Postcard from Google Earth (Satellite image glitches)",291,,
2841,"Starcraft II: Wings of Liberty",2010,"United States",Game,"Augmented reality, Holograms",,"Conflict, Race, War",Helpful,"Starcraft II: Wings of Liberty (Holographic transmission), Starcraft II: Wings of Liberty (Holographic map/interface)","2845, 2847","Jim Raynor, Arcturus Mengsk, Valerian Mengsk","2843, 2842, 2844"
2095,"For Want of a Nail",2010,"United States","Narrative, Short story","AI, Biometrics, Holograms, Virtual reality",,"AI, Free will","Flawed, Misleading","For Want of a Nail (VR-glasses as a tool), For Want of a Nail (The AI has cameras for eyes and hologram for body), For Want of a Nail (VR-glasses in communication), For Want of a Nail (Cordelia modifies her hologram consciously), For Want of a Nail (Fingerprint recognition), For Want of a Nail (The AI's main task is to watch and record)","2089, 2091, 2090, 2092, 2093, 2094","Rava, Ludoviko, Uncle Georgo, Cordelia","2086, 2087, 2088, 2114"
1511,Pixelhead,2010,Germany,Art,"Facial recognition",,"Hacking, Surveillance","Flawed, Intrusive","Pixelhead (avoiding facial recognition)",1554,,
1572,"15 minutes of biometric fame",2011,Netherlands,"Art, Installation art",,"Facial recognition","AI, Identity, Playful, Social Media","Flawed, Intrusive, Subversive","15 minutes of biometric fame (maching faces to celeberties)",1653,,
233,"Any Vision",2011,Slovakia,Art,,MicroscopeOrTelescope,Automation,"Alien, Helpful","Any Vision (Magnifying poem text)",2760,,
